distance_0,distance_1,distance_2,Vol,Err,Coord_1,Coord_2,Coord_3
2.250619510585763,2.9131214363160565,3.6546851556684183,6.302111843077515,0.020755377091250353,"[6.76482893592434, 3.250071237453988, 0]","[3.933343354163038, 3.934882089443048, 0]","[4.4948609663006565, 6.114328384419955, 0]"
2.6560002899140187,2.848203277065674,3.9838956264044154,5.039451843077515,0.020972899697869155,"[6.26054336216108, 4.846131433082325, 0]","[3.5152088268836046, 5.604682813610008, 0]","[2.689351457677126, 3.080341880663211, 0]"
2.0488601520042407,2.780904619636532,3.2156518277374193,7.697011843077519,0.02049431138433297,"[3.4176605812333642, 5.560232865415996, 0]","[6.5686752738488785, 6.2017335155732365, 0]","[5.181853952009715, 7.709896153939243, 0]"
3.4323347387503493,3.7160305112636363,3.995212169342093,1.057231843077517,0.021547903053734024,"[7.093063255313241, 6.550621930856035, 0]","[6.827644344574415, 3.1285648651929505, 0]","[3.5537292981658597, 5.418368469644394, 0]"
2.3291057398195267,2.435934016114909,3.5157421358832615,7.416091843077517,0.020548677328137692,"[3.558799105957213, 6.600058802214208, 0]","[6.19000290371685, 4.268276363674913, 0]","[3.86245423085844, 4.183125187903105, 0]"
2.31834100568604,2.599984160167105,2.9305614881154862,7.79373184307752,0.020475381544946113,"[4.453588056185843, 7.069774414867273, 0]","[2.506910706977699, 4.8791950545825085, 0]","[5.106674220535441, 4.845323138579008, 0]"
3.4394173559163654,3.7885565416241227,3.8489376451235793,1.0578118430775163,0.021547831140557975,"[6.935841258164153, 7.307126652488069, 0]","[7.888073044814874, 3.5778404445735545, 0]","[4.5414010690634194, 4.371174192058545, 0]"
2.741319186735951,3.223047373281026,3.4673317216699244,4.3446718430775135,0.021085185947894318,"[5.476488055164871, 2.313259537000585, 0]","[7.2790638067636655, 4.985104410896104, 0]","[4.625881604645569, 5.674636923494621, 0]"
2.6439747639768525,2.8775701548445944,2.909806501797622,6.389711843077521,0.02073963100751795,"[7.671881126256773, 2.123640419840838, 0]","[6.089953452119952, 4.527369778535866, 0]","[4.764389664953486, 2.239689031862645, 0]"
2.0334144728191026,2.0526818277959387,3.7570260133181645,9.494891843077514,0.02012433340109232,"[3.9569797880703343, 5.480434558592765, 0]","[6.9526095435898885, 7.747910431142512, 0]","[4.978361077714611, 7.260963397822354, 0]"
3.031995617570631,3.049331992790707,3.249620579632235,4.413051843077518,0.021074364567770006,"[7.084437482637729, 4.330406081530902, 0]","[6.6862350874183765, 7.3536262942674, 0]","[4.199144748377283, 5.262115941192905, 0]"
3.0886204134717077,3.2417296547128096,3.322847680131977,3.7136718430775204,0.0211826998657225,"[7.203807595559577, 4.655480006634909, 0]","[7.641931081479339, 7.712868413363707, 0]","[4.569078667384522, 6.680207193293889, 0]"
2.606059005968913,2.7715035084601354,3.6998710733884295,5.530731843077518,0.020890348624068484,"[5.112134919123449, 4.686477637012199, 0]","[3.504331312942965, 2.6354995516722535, 0]","[7.197337341999067, 2.860782549370101, 0]"
2.120612440486531,3.4048484793903553,3.730889512795941,5.484631843077516,0.020898206996436797,"[5.208374902972637, 5.919206039481129, 0]","[7.015104493754564, 4.808924404696867, 0]","[3.8819654379379673, 2.7833439413216357, 0]"
2.627941374648143,2.8647256308175617,3.027798700695828,6.199491843077517,0.020773713870445028,"[6.273762410325826, 3.226329113710036, 0]","[6.951570386985165, 6.177285114519319, 0]","[4.338192299010447, 5.003867921379264, 0]"
2.357987497991042,2.8324938872992713,2.9757541714753777,7.076171843077518,0.020613245963488624,"[3.5675794275471686, 2.621210579130083, 0]","[5.853414094444553, 4.526485563131929, 0]","[3.6843520960735265, 5.451296402117253, 0]"
2.102120580642386,3.0824083447643424,3.60532835305201,6.369791843077518,0.020743219173202602,"[3.0922293877842373, 4.927506167997225, 0]","[6.029134830369582, 2.8363392797185067, 0]","[5.026311345839275, 5.751058179157584, 0]"
2.0557711619689383,2.196289910115601,3.716270191456871,8.960651843077517,0.020238314736303515,"[4.104211009585595, 7.137132584842453, 0]","[2.160378247606754, 6.114780608890284, 0]","[2.0142844125834687, 4.06420711307227, 0]"
3.418481335297287,3.469196843381781,3.6730540544415766,1.8828518430775176,0.021442115192361038,"[2.342927191852869, 6.094645794986626, 0]","[3.217950554806514, 2.737614241304801, 0]","[5.699270383849407, 5.445819919027277, 0]"
2.1118578022749253,2.2249764969572756,3.89450318965087,8.660991843077518,0.020300736867737586,"[7.263902474427344, 2.480157460810209, 0]","[5.169901164192199, 2.2061102207894923, 0]","[3.59026570466962, 3.773041051117098, 0]"
